Provinsi,Tahun,Produksi,Luas_Panen,Curah_Hujan,Kelembapan,Suhu_Rerata
Riau,1997,416135,137953,1510.4,83.82,26.26
Riau,1998,370124,126280,2233,84.26,26.73
Riau,1999,461630,155683,2045.3,84.59,26.08
Riau,2000,431351,141640,2478.2,84.6,25.98
Riau,2001,413391,132507,2441.7,70.79,29.05
Riau,2002,396644,129025,3123.8,71.73,28.2
Riau,2003,414237,132887,3822.8,72.92,29.64
Riau,2004,454186,145239,2540.1,83.7,29.85
Riau,2005,424095,134418,1996.3,83.93,26.58
Riau,2006,42938,136177,537.6,79.6,27.7
Riau,2007,490087,147167,3216.3,85.3,27.1
Riau,2008,494260,147796,3026.2,80.2,27.4
Riau,2009,531429,149423,3390,76.2,27.7
Riau,2010,574864,156088,3390,76.2,27.7
Riau,2011,535788,145242,2405,74.5,27
Riau,2012,512152,144015,2636,76.1,27.3
Riau,2013,434144,118518,2628,76,26
Riau,2014,385475,106037,2343,78.1,27.2
Riau,2015,393917,107546,2048.3,80.5,27.2
Riau,2016,325826,72151,2105.6,83.72,27
Riau,2017,337421,70016,2982.9,84.76,26.7
Riau,2018,266375.53,71448.08,1837.1,71.22,25
Riau,2019,230873.97,63142.04,1608.3,83.77,26.91
Riau,2020,269344.05,64733.13,2584.9,81.8,25.93
Jambi,1993,607529,199431,1954,83.81,26.29
Jambi,1994,564722,184029,1824,81.25,25.51
Jambi,1995,593502,193666,2290.1,83.96,26.22
Jambi,1996,657650,215975,2309.1,83.6,26
Jambi,1997,572269,190608,1030.1,80.64,26.5
Jambi,1998,550277,178766,2383.8,83.47,26.78
Jambi,1999,553641,178307,2429.3,83.25,26.34
Jambi,2000,536779,171395,840.3,84.85,27.76
Jambi,2001,556564,164826,2515.2,72.4,28.12
Jambi,2002,561007,165729,2044.5,70.77,28.82
Jambi,2003,578346,159463,2508.1,71.28,29.39
Jambi,2004,579404,156803,2561,82.74,28.95
Jambi,2005,579635,154941,1015.7,84.8,26.8
Jambi,2006,544597,140613,424.7,85,26.77
Jambi,2007,58663,149888,2394,86,26.6
Jambi,2008,581704,143034,2230,83.7,26.5
Jambi,2009,644947,155802,2299,83.8,27.1
Jambi,2010,628828,153897,3207,84.6,27.1
Jambi,2011,646641,157441,2295,82.5,26.9
Jambi,2012,625164,149369,1874,81.4,26.7
Jambi,2013,664535,153243,2093,83.42,26.8
Jambi,2014,664720,145990,1781,82.8,27.2
Jambi,2015,541486,122214,1694.9,82.1,27
Jambi,2016,642095,96588,1502.4,83.84,26.84
Jambi,2017,678127,97690,2193.2,83.69,26.62
Jambi,2018,383045.74,86202.68,2182.3,82.23,26.62
Jambi,2019,309932.68,69536.06,1773.4,81.44,26.94
Jambi,2020,374376.27,84772.93,2303.8,78.24,25.85
"Sumatera Selatan",1993,1409559,439895,2815,82.78,26.38
"Sumatera Selatan",1994,1347611,422109,1800,79.89,26.53
"Sumatera Selatan",1995,1557944,492448,2800,82.71,26.54
"Sumatera Selatan",1996,1666591,495958,2614,82.45,26.34
"Sumatera Selatan",1997,1577398,469670,1558.3,78.47,26.75
"Sumatera Selatan",1998,1931505,621829,2539.3,82.58,26.19
"Sumatera Selatan",1999,1789961,530692,2704.7,81.01,25.67
"Sumatera Selatan",2000,1863643,555427,2632.5,83.26,25.32
"Sumatera Selatan",2001,1723433,511928,2837.5,72.06,28.83
"Sumatera Selatan",2002,1899849,561724,2368.2,70.36,28.23
"Sumatera Selatan",2003,1977345,570010,2674,69.59,29.64
"Sumatera Selatan",2004,2260794,625013,2182.6,80.96,28.7
"Sumatera Selatan",2005,2320110,626849,1356.9,82.5,27.1
"Sumatera Selatan",2006,2456251,646927,1442,80,27.1
"Sumatera Selatan",2007,2753044,691467,2364.7,83.5,27
"Sumatera Selatan",2008,2971286,718797,2685.7,84.8,26.9
"Sumatera Selatan",2009,3125236,746465,2389,82.3,27.4
"Sumatera Selatan",2010,3272451,769478,3396,85.25,27.08
"Sumatera Selatan",2011,3384670,784820,2593,84.8,27.3
"Sumatera Selatan",2012,3295247,769725,3083,83,27.4
"Sumatera Selatan",2013,3676723,800036,3409,84,27.3
"Sumatera Selatan",2014,3670435,810900,1668.3,81,26
"Sumatera Selatan",2015,4247922,872737,1947.2,79.5,27.7
"Sumatera Selatan",2016,4881089,615184,3477.9,82.22,27.31
"Sumatera Selatan",2017,4807430,621903,2489.5,81.08,26.75
"Sumatera Selatan",2018,2994191.84,581574.61,2252.4,77.66,27
"Sumatera Selatan",2019,2603396.24,539316.52,1655.5,85.13,27.6
"Sumatera Selatan",2020,2696877.46,551320.76,2300.2,81.1,26.14
Bengkulu,1993,356709,109807,4150,85.5,25.95
Bengkulu,1994,334232,104747,2043,85.32,25.68
Bengkulu,1995,377337,115914,4478,85.49,26.12
Bengkulu,1996,396977,121929,3931,85.96,25.66
Bengkulu,1997,382123,113915,1167,84,25.84
Bengkulu,1998,375533,111158,4114,85.34,26.4
Bengkulu,1999,381577,114788,3084,84.72,25.81
Bengkulu,2000,362979,108751,3254,84.73,24.22
Bengkulu,2001,376973,105212,3010,70.15,26.8
Bengkulu,2002,379818,109519,3076,67.98,28.5
Bengkulu,2003,413375,110550,3030,70.3,29.5
Bengkulu,2004,414741,110929,3277,84.28,29.7
Bengkulu,2005,441276,116818,3375.2,84.7,25.7
Bengkulu,2006,378377,100991,2313.8,83.3,26.1
Bengkulu,2007,470469,123853,3150,84.2,26.4
Bengkulu,2008,484900,127506,3396,84.2,26.3
Bengkulu,2009,510160,132975,3850,84.1,26.5
Bengkulu,2010,516869,133629,3822,84,26.8
Bengkulu,2011,502552,127934,2465.7,82.52,26.35
Bengkulu,2012,581910,144448,2545,82,26.9
Bengkulu,2013,622832,147680,3980.9,83.93,26.7
Bengkulu,2014,593194,147572,3323,83.7,26.9
Bengkulu,2015,578654,128833,2668.9,83.2,27
Bengkulu,2016,629224,83449,3350.1,83.38,26.77
Bengkulu,2017,714017,82429,3949.8,84.2,26.52
Bengkulu,2018,288810.52,65891.16,3649.9,83.79,26.64
Bengkulu,2019,296472.07,64406.86,1786.2,83.26,26.56
Bengkulu,2020,296925.16,64137.28,4144,80.18,25.84
Lampung,1993,1646900,433078,2306.7,84.82,26.41
Lampung,1994,1615751,425940,2034.2,77.51,25.73
Lampung,1995,1943709,514363,3039.4,82.81,26.43
Lampung,1996,1971740,515192,1934.9,82.61,26.27
Lampung,1997,1753656,454087,1253.3,78.46,26.68
Lampung,1998,1975700,521575,2584.9,84.07,26.95
Lampung,1999,1801422,476899,2364.7,83.46,26.24
Lampung,2000,1946406,496879,1488.5,82.86,28.2
Lampung,2001,1992726,501119,2013.1,77.83,26.71
Lampung,2002,1951109,475461,2143.5,75.84,27.5
Lampung,2003,1966293,472635,1682.2,68.71,29.67
Lampung,2004,2091996,495519,2042.9,81.47,29.66
Lampung,2005,2124144,496538,1612.8,79.6,26.59
Lampung,2006,2129914,494102,560.3,74.6,26.18
Lampung,2007,2308404,524955,1941.4,75.9,27.6
Lampung,2008,2341075,506547,1940.1,79,26.4
Lampung,2009,2673844,570417,1789,79.1,26.7
Lampung,2010,2807676,590608,2710,82.3,26.7
Lampung,2011,2940795,606973,1568,77.8,26.8
Lampung,2012,3101455,641876,1685,79.2,26.8
Lampung,2013,3207002,638090,2456.7,81,26.7
Lampung,2014,3320064,648731,1682.5,79.9,25.8
Lampung,2015,3641895,707266,1628.1,78.9,27.1
Lampung,2016,3831923,390799,2317.6,79.4,26.45
Lampung,2017,4090654,396559,1825.1,77.04,26.36
Lampung,2018,2488641.91,511940.93,1385.8,76.05,25.5
Lampung,2019,2164089.33,464103.42,1706.4,78.03,27.23
Lampung,2020,2604913.29,545149.05,2211.3,75.8,24.58
